Unnamed: 0,Class,CBO,LOC,OCavg,RFC,WMC,bug
2116,2.0.25-org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDTransitionMotion,2,18,0.0,2,0,0
77,2.0.23-org.apache.pdfbox.cos.COSArray,235,514,1.6,67,64,1
1702,2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators.IfElse,4,19,2.0,4,2,0
2448,2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,15,2.0,8,2,1
2448,2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,15,2.0,8,2,1
1533,2.0.25-org.apache.pdfbox.cos.COSObject,57,150,1.23,17,16,1
1725,2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,15,2.0,8,2,1
85,2.0.23-org.apache.pdfbox.cos.COSName,442,716,1.5,25,18,1
993,2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,9,1.0,2,1,1
2421,2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,9,1.0,3,1,1
1685,2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,24,3.0,6,3,1
3239,2.0.27-org.apache.pdfbox.pdmodel.fdf.FDFDictionary,34,504,2.52,86,68,0
3172,2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,15,2.0,8,2,1
1561,2.0.25-org.apache.pdfbox.filter.JBIG2Filter,8,116,3.0,47,12,0
3172,2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,15,2.0,8,2,1
1530,2.0.25-org.apache.pdfbox.cos.COSName,446,731,1.5,25,18,1
666,2.0.23-org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDThreadBead,9,167,1.21,23,17,0
86,2.0.23-org.apache.pdfbox.cos.COSNull,22,53,1.0,6,4,1
1140,2.0.24-org.apache.pdfbox.pdmodel.font.encoding.MacOSRomanEncoding,4,54,1.5,5,3,0
3294,2.0.27-org.apache.pdfbox.pdmodel.font.PDType1CFont.FF3ByteSource,5,8,1.0,4,1,0
1533,2.0.25-org.apache.pdfbox.cos.COSObject,57,150,1.23,17,16,1
3551,2.0.27-org.apache.pdfbox.pdmodel.interactive.form.PlainTextFormatter,11,142,6.33,22,19,0
1685,2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,24,3.0,6,3,1
3612,2.0.27-org.apache.pdfbox.util.filetypedetector.ByteTrie,2,86,2.5,9,10,0
77,2.0.23-org.apache.pdfbox.cos.COSArray,235,514,1.6,67,64,1
32,2.0.23-org.apache.pdfbox.contentstream.operator.graphics.DrawObject,14,64,4.5,17,9,0
975,2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,9,1.0,3,1,1
85,2.0.23-org.apache.pdfbox.cos.COSName,442,716,1.5,25,18,1
970,2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2,14,1.0,2,2,1
1716,2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,9,1.0,2,1,1
86,2.0.23-org.apache.pdfbox.cos.COSNull,22,53,1.0,6,4,1
1710,2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.Parser.State,1,5,0.0,2,0,1
