Class,CBO,OCavg,RFC,WMC,bug
2.0.25-org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDTransitionMotion,2,0,2,0,0
2.0.23-org.apache.pdfbox.cos.COSArray,235,1.6,67,64,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators.IfElse,4,2,4,2,0
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.25-org.apache.pdfbox.cos.COSObject,57,1.23,17,16,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.23-org.apache.pdfbox.cos.COSName,442,1.5,25,18,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,3,6,3,1
2.0.25-org.apache.pdfbox.filter.JBIG2Filter,8,3,47,12,0
2.0.25-org.apache.pdfbox.cos.COSName,446,1.5,25,18,1
2.0.23-org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDThreadBead,9,1.21,23,17,0
2.0.23-org.apache.pdfbox.cos.COSNull,22,1,6,4,1
2.0.24-org.apache.pdfbox.pdmodel.font.encoding.MacOSRomanEncoding,4,1.5,5,3,0
2.0.25-org.apache.pdfbox.cos.COSObject,57,1.23,17,16,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,3,6,3,1
2.0.23-org.apache.pdfbox.cos.COSArray,235,1.6,67,64,1
2.0.23-org.apache.pdfbox.contentstream.operator.graphics.DrawObject,14,4.5,17,9,0
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.23-org.apache.pdfbox.cos.COSName,442,1.5,25,18,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2,1,2,2,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.23-org.apache.pdfbox.cos.COSNull,22,1,6,4,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.Parser.State,1,0,2,0,1
2.0.25-org.apache.pdfbox.pdmodel.font.PDCIDFontType2Embedder.State,1,0,2,0,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Le,2,1,2,1,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,3,6,3,1
2.0.23-org.apache.pdfbox.pdmodel.encryption.PDCryptFilterDictionary,6,1,13,8,0
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Le,2,1,2,1,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ne,2,1,2,1,0
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.23-org.apache.pdfbox.cos.COSArray,235,1.6,67,64,1
2.0.25-org.apache.pdfbox.cos.COSObject,57,1.23,17,16,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.Parser.State,1,0,2,0,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.25-org.apache.pdfbox.cos.COSDocument,74,1.79,81,68,0
2.0.24-org.apache.pdfbox.cos.COSName,443,1.5,25,18,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.23-org.apache.pdfbox.pdmodel.graphics.color.PDDeviceNProcess,8,1.67,19,10,0
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2,1,2,2,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2,1,2,2,1
2.0.25-org.apache.pdfbox.pdmodel.graphics.color.PDTristimulus,8,1.1,16,11,0
2.0.23-org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationSquareCircle,20,1.39,41,25,0
2.0.23-org.apache.pdfbox.cos.COSName,442,1.5,25,18,1
2.0.25-org.apache.pdfbox.cos.COSObject,57,1.23,17,16,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ne,2,1,2,1,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.23-org.apache.pdfbox.pdmodel.common.PDNumberTreeNode,13,2.64,52,37,0
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.25-org.apache.pdfbox.cos.COSName,446,1.5,25,18,1
2.0.25-org.apache.pdfbox.cos.COSName,446,1.5,25,18,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.25-org.apache.pdfbox.cos.COSName,446,1.5,25,18,1
2.0.24-org.apache.pdfbox.cos.COSName,443,1.5,25,18,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.23-org.apache.pdfbox.cos.COSNull,22,1,6,4,1
2.0.25-org.apache.pdfbox.cos.COSName,446,1.5,25,18,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2,1,2,2,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.25-org.apache.pdfbox.cos.COSObject,57,1.23,17,16,1
2.0.24-org.apache.pdfbox.cos.COSName,443,1.5,25,18,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Le,2,1,2,1,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,1,2,1,1
2.0.23-org.apache.pdfbox.cos.COSArray,235,1.6,67,64,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,3,6,3,1
2.0.26-org.apache.pdfbox.pdmodel.PDDestinationNameTreeNode,8,1.25,8,5,0
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Le,2,1,2,1,1
2.0.24-org.apache.pdfbox.cos.COSName,443,1.5,25,18,1
2.0.25-org.apache.pdfbox.rendering.CIDType0Glyph2D,5,1.67,17,5,0
2.0.24-org.apache.pdfbox.cos.COSName,443,1.5,25,18,1
2.0.25-org.apache.pdfbox.pdmodel.font.PDCIDFontType2Embedder.State,1,0,2,0,1
2.0.25-org.apache.pdfbox.util.filetypedetector.ByteTrie,2,2.5,9,10,0
2.0.23-org.apache.pdfbox.contentstream.operator.graphics.LegacyFillNonZeroRule,3,1,1,1,0
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Le,2,1,2,1,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.23-org.apache.pdfbox.pdmodel.fixup.processor.AcroFormGenerateAppearancesProcessor,5,1.5,11,3,0
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,2,8,2,1
2.0.25-org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationWidget,48,1.46,27,19,0
2.0.23-org.apache.pdfbox.pdmodel.interactive.form.PDTerminalField,42,2.18,43,24,0
2.0.25-org.apache.pdfbox.pdmodel.font.PDCIDFontType2Embedder.State,1,0,2,0,1
2.0.25-org.apache.pdfbox.pdmodel.interactive.annotation.handlers.PDAbstractAppearanceHandler,33,1.7,78,46,0
2.0.23-org.apache.pdfbox.cos.COSArray,235,1.6,67,64,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2,1,2,2,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.26-org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem,33,1.6,63,40,0
2.0.23-org.apache.pdfbox.cos.COSArray,235,1.6,67,64,1
2.0.24-org.apache.pdfbox.cos.COSName,443,1.5,25,18,1
2.0.25-org.apache.pdfbox.pdmodel.fdf.FDFCatalog,9,1.18,21,13,0
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,3,6,3,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Le,2,1,2,1,1
2.0.26-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.24-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,3,1,1
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ne,2,1,2,1,1
2.0.26-org.apache.pdfbox.filter.DecodeOptions.FinalDecodeOptions,1,1,9,7,0
2.0.25-org.apache.pdfbox.pdmodel.common.function.type4.Parser.State,1,0,2,0,1
